平方根：海绵宝宝的故事,9.2,美国,喜剧,"""https://movie.douban.com/subject/4001873/""","""https://img3.doubanio.com/view/subject/l/public/s3956255.jpg"""
周六夜现场,9.2,美国,喜剧,"""https://movie.douban.com/subject/2346297/""","""https://img3.doubanio.com/view/photo/s_ratio_poster/public/p836398212.jpg"""
冷气礼堂的喧哗: 比尔·奥雷利 vs. 囧司徒,9.2,美国,喜剧,"""https://movie.douban.com/subject/19961485/""","""https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1717230188.jpg"""
"Russell Peters: Two Concerts, One Ticket",9.2,美国,喜剧,"""https://movie.douban.com/subject/6087827/""","""https://img1.doubanio.com/view/subject/l/public/s4699657.jpg"""
辛普森一家：颁奖季,9.2,美国,喜剧,"""https://movie.douban.com/subject/6008882/""","""https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png"""
寻子遇仙记,9.1,美国,喜剧,"""https://movie.douban.com/subject/1293270/""","""https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2332976198.jpg"""
马戏团,9.1,美国,喜剧,"""https://movie.douban.com/subject/1299628/""","""https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2248445275.jpg"""
欢乐树的朋友们,9.1,美国,喜剧,"""https://movie.douban.com/subject/4181031/""","""https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2533709702.jpg"""
欢乐树的朋友们：滑雪巡逻救生队,9.1,美国,喜剧,"""https://movie.douban.com/subject/3075092/""","""https://img3.doubanio.com/view/subject/l/public/s3622650.jpg"""
周六夜现场：贾斯汀·汀布莱克,9.1,美国,喜剧,"""https://movie.douban.com/subject/21361552/""","""https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1894383482.jpg"""
人鼠之间,9.1,美国,喜剧,"""https://movie.douban.com/subject/26431592/""","""https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2252276881.jpg"""
周六夜现场：金·凯瑞/Soundgarden,9.1,美国,喜剧,"""https://movie.douban.com/subject/5973957/""","""https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1764557799.jpg"""
周六夜现场：贝蒂·怀特/Jay-Z,9.1,美国,喜剧,"""https://movie.douban.com/subject/4706591/""","""https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2362999490.jpg"""
杰夫·唐纳姆：跟自己吵架,9.1,美国,喜剧,"""https://movie.douban.com/subject/2363540/""","""https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2515501144.jpg"""
寻梦环游记,9.0,美国,喜剧,"""https://movie.douban.com/subject/20495023/""","""https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503997609.jpg"""
